tokenId,plotId,color,level,grade,grade type,grade value,age,owner
69948,102,9,1,17075088,1,297872,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69949,103,1,1,34141554,2,587122,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69950,103,2,2,67491464,4,382600,534097,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69951,103,10,1,50718310,3,386662,0,0x6F69F79cEA418024b9E0acfD18bD8DE26f9BBE39
69952,104,10,1,67579718,4,470854,534092,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69953,104,1,2,17336556,1,559340,0,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
69954,104,2,1,16975416,1,198200,0,0x20CA0D6FE51d06946f5cC90F9F4f297D398dD6DB
69955,105,1,2,67746247,4,637383,534092,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69956,105,10,1,17297914,1,520698,0,0x9100eCfb5afc2083be86FDFb1974B19E33d95F0d
69957,105,1,1,33661502,2,107070,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69958,106,2,1,67346864,4,238000,534092,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69959,106,9,2,33938315,2,383883,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69960,106,2,1,17239323,1,462107,0,0xAbe648928A8d5B1D943d5d237De71BB2A0C2794c
69961,107,9,1,67910669,4,801805,534092,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69962,107,9,2,33950939,2,396507,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69963,107,10,1,17006462,1,229246,0,0xFEfBdC19a0d855a8b9bBf79144BC32Cc7EedA019
69964,108,9,1,17500659,1,723443,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69965,108,2,1,50427267,3,95619,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69966,108,1,2,68086983,4,978119,534092,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69967,108,2,1,33599008,2,44576,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69968,109,1,2,17461325,1,684109,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69969,109,2,1,67962126,4,853262,534092,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69970,109,10,1,17215677,1,438461,0,0x6aF8C99Bbc553E2252F8969F97F6b327dfc88496
69971,110,2,1,17723920,1,946704,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69972,110,10,2,67470581,4,361717,534092,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69973,110,9,1,33629939,2,75507,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69974,111,10,2,67353063,4,244199,534092,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69975,111,9,1,17574393,1,797177,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69976,111,1,1,33556931,2,2499,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69977,112,10,1,34362794,2,808362,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69978,112,2,2,67224875,4,116011,534092,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69979,112,9,1,17293098,1,515882,0,0x56f6bf6B793713C050Fd02147a45b563Bb4D8eFa
69980,113,2,2,17134855,1,357639,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69981,113,1,1,67740164,4,631300,534092,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69982,113,10,1,17390870,1,613654,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69983,114,1,2,67628156,4,519292,534092,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69984,114,2,1,50507811,3,176163,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
69985,114,1,1,17372724,1,595508,0,0x75298D6Fd0757DaDcfE18a106023efa195F741e6
69986,115,10,1,67347991,4,239127,534089,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
69987,115,1,2,34199860,2,645428,0,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
69988,115,9,1,16895104,1,117888,0,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
69989,116,9,2,67209239,4,100375,534089,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
69990,116,10,1,34109163,2,554731,0,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
69991,116,2,1,17396114,1,618898,0,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
69992,117,2,1,33726373,2,171941,0,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
69993,117,10,2,68067084,4,958220,534089,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
69994,117,2,1,17206040,1,428824,0,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
69995,118,1,2,51263696,3,932048,0,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
69996,118,1,1,67427045,4,318181,534089,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
69997,118,9,1,33581921,2,27489,0,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
69998,119,9,1,67690700,4,581836,534089,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
69999,119,2,2,34284700,2,730268,0,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
