tokenId,color,level,grade,grade type,grade value,age,owner
70630,9,2,51278261,3,946613,0,0xbb517Df03C2Ed2540a5EfC92aa2FEd3dE107983b
70631,9,1,34250551,2,696119,0,0xbb517Df03C2Ed2540a5EfC92aa2FEd3dE107983b
70632,1,2,67779609,4,670745,530126,0x5738bFC44c17D72272E198D8D3aE5f598c802d97
70633,1,1,33823601,2,269169,0,0x5738bFC44c17D72272E198D8D3aE5f598c802d97
70634,1,1,17286602,1,509386,0,0x5738bFC44c17D72272E198D8D3aE5f598c802d97
70635,9,2,67882641,4,773777,529893,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
70636,10,1,33793872,2,239440,0,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
70637,10,1,17699624,1,922408,0,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
4364,10,1,34447122,2,892690,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
4365,10,1,16893240,1,116024,0,0x5a0EBD2690Bd9D309B6923F9D931E2C965045Ad9
4366,1,2,67385508,4,276644,529871,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
4367,10,1,51063428,3,731780,0,0x0a19B2ac2DA8B86dE5D34FCDC98F029c28b1BECb
70638,1,1,16934773,1,157557,0,0x59D9Cb5463d2798AAAA7ba14dEC5fcd2259088AB
70639,10,2,34492200,2,937768,0,0xE75156eFe028C476E2F790f9C2AF18412ea34A72
70640,1,1,83980701,5,94621,529838,0x59D9Cb5463d2798AAAA7ba14dEC5fcd2259088AB
70641,2,1,67932050,4,823186,529750,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70642,10,2,17284592,1,507376,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70643,9,1,17749783,1,972567,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70644,9,2,34254118,2,699686,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70645,2,1,67673916,4,565052,529750,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70646,1,1,51307586,3,975938,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70647,9,2,50589515,3,257867,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70648,9,1,67359396,4,250532,529750,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70649,10,1,34222746,2,668314,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70650,1,2,17425327,1,648111,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70651,2,1,67648829,4,539965,529750,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70652,1,1,16790105,1,12889,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70653,1,1,67625330,4,516466,529750,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70654,9,1,33625632,2,71200,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70655,2,2,34105792,2,551360,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70656,10,1,17020807,1,243591,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70657,2,1,67833210,4,724346,529750,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70658,10,2,33602059,2,47627,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70659,9,1,16800885,1,23669,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70660,10,1,67249238,4,140374,529750,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70661,2,2,34476765,2,922333,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70662,10,1,17701572,1,924356,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70663,1,2,67354554,4,245690,529750,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70664,10,1,34453678,2,899246,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70665,9,1,33958301,2,403869,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70666,2,1,50579811,3,248163,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70667,1,2,67422255,4,313391,529750,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70668,9,1,33691887,2,137455,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70669,9,1,16975103,1,197887,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70670,9,2,67162686,4,53822,529750,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70671,10,1,16827729,1,50513,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70672,2,1,33695952,2,141520,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70673,9,2,67649040,4,540176,529750,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70674,10,1,34163329,2,608897,0,0xb3CAb0F508598ba4b83573656EcB0De6DE8DE327
70675,9,1,16848585,1,71369,0,0x921E7eBebFB4F37A3770c5CCaFC108ac31c8D438
70676,10,2,67550559,4,441695,528212,0x921E7eBebFB4F37A3770c5CCaFC108ac31c8D438
70677,9,1,34415108,2,860676,0,0x921E7eBebFB4F37A3770c5CCaFC108ac31c8D438
70678,9,2,34139294,2,584862,0,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
70679,10,1,67230552,4,121688,528080,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
70680,9,1,34341757,2,787325,0,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
70681,10,2,33680037,2,125605,0,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70682,1,1,67591885,4,483021,527994,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70683,9,1,16927404,1,150188,0,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70684,10,1,67256035,4,147171,527994,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70685,10,2,34050502,2,496070,0,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70686,9,1,17503100,1,725884,0,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70687,1,1,67127742,4,18878,527994,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70688,10,2,17200760,1,423544,0,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70689,10,1,51196810,3,865162,0,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70690,2,1,67552047,4,443183,527994,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70691,9,2,17770280,1,993064,0,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70692,9,1,33867749,2,313317,0,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70693,2,2,16872809,1,95593,0,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70694,2,1,17636343,1,859127,0,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70695,9,1,67182777,4,73913,527994,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70696,9,1,17241984,1,464768,0,0x4f0d861281161f39c62B790995fb1e7a0B81B07b
70697,10,2,17405462,1,628246,0,0x5738bFC44c17D72272E198D8D3aE5f598c802d97
70698,2,1,67734250,4,625386,527384,0x5738bFC44c17D72272E198D8D3aE5f598c802d97
70699,10,1,33580783,2,26351,0,0x5738bFC44c17D72272E198D8D3aE5f598c802d97
70700,2,2,16867648,1,90432,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
70701,2,1,67882128,4,773264,527348,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
70702,9,1,17438184,1,660968,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
70703,9,1,17254985,1,477769,0,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
70704,2,2,68055270,4,946406,527346,0xDbB59151b18Dd72E9AC092706e93De5b5d7a9325
70705,1,1,34346418,2,791986,0,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
70706,1,1,34170979,2,616547,0,0xd0205b4f442A2A4c4fb01cC94f8B5bf1DfD29458
70707,2,2,67927646,4,818782,527169,0xd0205b4f442A2A4c4fb01cC94f8B5bf1DfD29458
70708,2,1,33662778,2,108346,0,0xd0205b4f442A2A4c4fb01cC94f8B5bf1DfD29458
